,Lon,Lat,Datetime,Time,Year,Month,Day,Hour,Minute,Second,salinity,sstskin_k,temperature_c
0,-5.027979,50.216161,14/09/2018,12:00:00,2018,9,14,12,0,0,34.5411,289.851,16.701
1,-5.027979,50.216161,14/09/2018,12:10:00,2018,9,14,12,10,0,34.4848,289.851,16.701
2,-5.027979,50.216161,14/09/2018,12:20:00,2018,9,14,12,20,0,34.4476,289.875,16.725
3,-5.027979,50.216161,14/09/2018,12:30:00,2018,9,14,12,30,0,34.3746,289.851,16.701
4,-5.027979,50.216161,14/09/2018,12:40:00,2018,9,14,12,40,0,34.3708,289.875,16.725
5,-5.027979,50.216161,14/09/2018,12:50:00,2018,9,14,12,50,0,34.2855,289.851,16.701
6,-5.027979,50.216161,14/09/2018,1:00:00,2018,9,14,1,0,0,34.3029,289.851,16.701
7,-5.027979,50.216161,14/09/2018,1:10:00,2018,9,14,1,10,0,34.2282,289.851,16.701
8,-5.027979,50.216161,14/09/2018,1:20:00,2018,9,14,1,20,0,34.2086,289.827,16.677
9,-5.027979,50.216161,14/09/2018,1:30:00,2018,9,14,1,30,0,34.1333,289.827,16.677
10,-5.027979,50.216161,14/09/2018,1:40:00,2018,9,14,1,40,0,34.0902,289.827,16.677
11,-5.027979,50.216161,14/09/2018,1:50:00,2018,9,14,1,50,0,34.0926,289.804,16.654
12,-5.027979,50.216161,14/09/2018,2:00:00,2018,9,14,2,0,0,34.0786,289.804,16.654
13,-5.027979,50.216161,14/09/2018,2:10:00,2018,9,14,2,10,0,34.0022,289.78,16.63
14,-5.027979,50.216161,14/09/2018,2:20:00,2018,9,14,2,20,0,33.9735,289.756,16.606
15,-5.027979,50.216161,14/09/2018,2:30:00,2018,9,14,2,30,0,33.8363,289.732,16.582
16,-5.027979,50.216161,14/09/2018,2:40:00,2018,9,14,2,40,0,33.8588,289.732,16.582
17,-5.027979,50.216161,14/09/2018,2:50:00,2018,9,14,2,50,0,33.869,289.732,16.582
18,-5.027979,50.216161,14/09/2018,3:00:00,2018,9,14,3,0,0,33.8405,289.708,16.558
19,-5.027979,50.216161,14/09/2018,3:10:00,2018,9,14,3,10,0,33.7696,289.708,16.558
20,-5.027979,50.216161,14/09/2018,3:20:00,2018,9,14,3,20,0,33.7404,289.684,16.534
21,-5.027979,50.216161,14/09/2018,3:30:00,2018,9,14,3,30,0,33.7537,289.684,16.534
22,-5.027979,50.216161,14/09/2018,3:40:00,2018,9,14,3,40,0,33.6386,289.684,16.534
23,-5.027979,50.216161,14/09/2018,3:50:00,2018,9,14,3,50,0,33.5706,289.684,16.534
24,-5.027979,50.216161,14/09/2018,4:00:00,2018,9,14,4,0,0,33.6342,289.661,16.511
25,-5.027979,50.216161,14/09/2018,4:10:00,2018,9,14,4,10,0,33.6107,289.661,16.511
26,-5.027979,50.216161,14/09/2018,4:20:00,2018,9,14,4,20,0,33.5924,289.589,16.439
27,-5.027979,50.216161,14/09/2018,4:30:00,2018,9,14,4,30,0,33.5943,289.613,16.463
28,-5.027979,50.216161,14/09/2018,4:40:00,2018,9,14,4,40,0,33.6395,289.613,16.463
29,-5.027979,50.216161,14/09/2018,4:50:00,2018,9,14,4,50,0,33.6196,289.637,16.487
30,-5.027979,50.216161,14/09/2018,5:00:00,2018,9,14,5,0,0,33.6911,289.637,16.487
31,-5.027979,50.216161,14/09/2018,5:10:00,2018,9,14,5,10,0,33.6788,289.613,16.463
32,-5.027979,50.216161,14/09/2018,5:20:00,2018,9,14,5,20,0,33.792,289.613,16.463
33,-5.027979,50.216161,14/09/2018,5:30:00,2018,9,14,5,30,0,33.8083,289.613,16.463
34,-5.027979,50.216161,14/09/2018,5:40:00,2018,9,14,5,40,0,33.8292,289.661,16.511
35,-5.027979,50.216161,14/09/2018,5:50:00,2018,9,14,5,50,0,33.8139,289.637,16.487
36,-5.027979,50.216161,14/09/2018,6:00:00,2018,9,14,6,0,0,33.9922,289.637,16.487
37,-5.027979,50.216161,14/09/2018,6:10:00,2018,9,14,6,10,0,34.0905,289.661,16.511
38,-5.027979,50.216161,14/09/2018,6:20:00,2018,9,14,6,20,0,34.176,289.684,16.534
39,-5.027979,50.216161,14/09/2018,6:30:00,2018,9,14,6,30,0,34.3318,289.661,16.511
40,-5.027979,50.216161,14/09/2018,6:40:00,2018,9,14,6,40,0,34.4476,289.684,16.534
41,-5.027979,50.216161,14/09/2018,6:50:00,2018,9,14,6,50,0,34.547,289.684,16.534
42,-5.027979,50.216161,14/09/2018,7:00:00,2018,9,14,7,0,0,34.5414,289.684,16.534
43,-5.027979,50.216161,14/09/2018,7:10:00,2018,9,14,7,10,0,34.6085,289.684,16.534
44,-5.027979,50.216161,14/09/2018,7:20:00,2018,9,14,7,20,0,34.5847,289.661,16.511
45,-5.027979,50.216161,14/09/2018,7:30:00,2018,9,14,7,30,0,34.4932,289.684,16.534
46,-5.027979,50.216161,14/09/2018,7:40:00,2018,9,14,7,40,0,34.5411,289.684,16.534
47,-5.027979,50.216161,14/09/2018,7:50:00,2018,9,14,7,50,0,34.5785,289.684,16.534
