date,time,doy,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,P_1_1_1
dd/mm/yyyy,hh:mm,-,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,Wm-2s-1,Wm-2s-1,Wm-2s-1,Wm-2s-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,mm
01/01/2016,00:30,1.02,3.91,4.162,4.39,5.323,6.785,4.252,4.792,4.974,5.78,7.027,3.907,4.28,4.62,5.664,6.676,4.148,4.851,5.329,6.233,7.429,-2.84,-4.774,-4.589,-4.955,34.26,34.12,24.09,26.71,36.43,35.41,26.49,24.44,33.16,36.63,58.62,42.43,53.38,63.68,47.48,55.5,42.23,41.39,32.68,43.05,0
01/01/2016,01:00,1.041,3.917,4.16,4.386,5.314,6.779,4.253,4.788,4.967,5.775,7.023,3.92,4.286,4.622,5.663,6.677,4.148,4.843,5.321,6.223,7.422,-2.828,-4.695,-4.516,-4.914,34.25,34.1,24.09,26.7,36.44,35.39,26.47,24.43,33.16,36.59,58.61,42.43,53.37,63.67,47.49,55.47,42.23,41.39,32.67,43.06,0.0434
01/01/2016,01:30,1.062,3.924,4.16,4.384,5.31,6.779,4.251,4.78,4.958,5.761,7.014,3.926,4.284,4.615,5.654,6.669,4.157,4.844,5.319,6.223,7.425,-2.752,-4.616,-4.43,-4.866,34.24,34.1,24.08,26.69,36.45,35.38,26.47,24.42,33.15,36.57,58.6,42.43,53.37,63.67,47.5,55.47,42.22,41.38,32.66,43.07,0.165529
01/01/2016,02:00,1.083,3.932,4.164,4.385,5.304,6.776,4.259,4.782,4.956,5.758,7.013,3.928,4.276,4.603,5.638,6.656,4.171,4.849,5.323,6.225,7.432,-2.727,-4.533,-4.375,-4.824,34.23,34.1,24.08,26.69,36.45,35.38,26.47,24.41,33.13,36.53,58.59,42.43,53.37,63.67,47.5,55.46,42.23,41.37,32.65,43.07,0.148311
01/01/2016,02:30,1.104,3.942,4.172,4.389,5.304,6.777,4.26,4.778,4.951,5.75,7.008,3.945,4.286,4.61,5.641,6.662,4.179,4.849,5.319,6.221,7.433,-2.679,-4.475,-4.309,-4.762,34.23,34.1,24.08,26.69,36.46,35.38,26.46,24.41,33.12,36.51,58.58,42.43,53.37,63.7,47.5,55.44,42.21,41.37,32.65,43.07,0.196502
01/01/2016,03:00,1.124,3.954,4.176,4.391,5.3,6.779,4.263,4.775,4.946,5.744,7.005,3.969,4.305,4.625,5.65,6.671,4.187,4.846,5.317,6.218,7.431,-2.626,-4.407,-4.232,-4.718,34.23,34.1,24.07,26.69,36.47,35.37,26.43,24.42,33.11,36.48,58.6,42.43,53.38,63.71,47.5,55.45,42.2,41.36,32.63,43.07,0.078516
01/01/2016,03:30,1.145,3.958,4.178,4.392,5.295,6.773,4.272,4.776,4.945,5.74,7.002,3.97,4.303,4.618,5.638,6.662,4.194,4.844,5.311,6.214,7.429,-2.623,-4.376,-4.2,-4.66,34.23,34.1,24.07,26.69,36.47,35.35,26.43,24.41,33.11,36.48,58.66,42.43,53.38,63.73,47.5,55.47,42.2,41.36,32.62,43.07,0.034813
01/01/2016,04:00,1.166,3.967,4.186,4.396,5.294,6.775,4.279,4.779,4.947,5.738,7.004,3.964,4.294,4.604,5.619,6.644,4.206,4.849,5.315,6.215,7.432,-2.612,-4.305,-4.128,-4.606,34.23,34.1,24.06,26.68,36.47,35.33,26.43,24.39,33.11,36.46,58.74,42.43,53.38,63.74,47.5,55.45,42.2,41.35,32.61,43.07,0
01/01/2016,04:30,1.187,3.972,4.19,4.4,5.292,6.776,4.29,4.783,4.951,5.739,7.007,3.96,4.288,4.595,5.604,6.63,4.22,4.853,5.314,6.215,7.435,-2.551,-4.299,-4.099,-4.55,34.23,34.09,24.06,26.67,36.47,35.33,26.42,24.38,33.11,36.44,58.83,42.43,53.38,63.74,47.5,55.44,42.19,41.34,32.6,43.06,0.039266
01/01/2016,05:00,1.208,3.981,4.198,4.404,5.291,6.779,4.294,4.784,4.946,5.733,7.002,3.973,4.291,4.599,5.603,6.629,4.235,4.86,5.319,6.219,7.441,-2.522,-4.281,-4.047,-4.504,34.23,34.08,24.05,26.67,36.47,35.33,26.39,24.36,33.09,36.43,58.92,42.45,53.38,63.74,47.5,55.43,42.19,41.33,32.6,43.06,0
01/01/2016,05:30,1.229,3.99,4.204,4.407,5.292,6.781,4.291,4.776,4.939,5.722,6.994,3.991,4.307,4.609,5.608,6.637,4.242,4.857,5.313,6.211,7.436,-2.519,-4.214,-3.996,-4.45,34.23,34.08,24.05,26.67,36.47,35.32,26.39,24.36,33.08,36.36,58.98,42.48,53.38,63.74,47.5,55.45,42.2,41.32,32.59,43.05,0
