date,time,doy,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,P_1_1_1
dd/mm/yyyy,hh:mm,-,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,Wm-2s-1,Wm-2s-1,Wm-2s-1,Wm-2s-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,mm
01/01/2015,00:30,1.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0
01/01/2015,01:00,1.041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0
01/01/2015,01:30,1.062,1.315,1.688,1.947,3.202,5.883,1.701,2.431,2.669,3.837,6.164,1.377,2.029,2.445,3.828,5.475,1.987,2.837,3.461,4.785,6.9,-3.568,-5.975,-5.287,-6.081,36.49,36.86,24.06,26.98,31.67,37.63,24.05,24.18,34.03,36.36,72.18,44.68,56.07,62.89,47.38,66.46,42.11,39.62,32.39,47.77,0
01/01/2015,02:00,1.083,1.315,1.69,1.946,3.196,5.881,1.693,2.42,2.66,3.826,6.153,1.372,2.026,2.439,3.819,5.468,1.988,2.839,3.461,4.786,6.902,-3.568,-5.974,-5.266,-6.045,36.64,37.07,24.14,27.09,31.82,37.8,24.13,24.26,34.21,36.57,72.75,44.99,56.5,63.39,47.71,66.96,42.39,39.88,32.56,48.14,0
01/01/2015,02:30,1.104,1.304,1.676,1.934,3.18,5.863,1.695,2.421,2.658,3.821,6.147,1.368,2.02,2.432,3.811,5.457,1.988,2.838,3.459,4.78,6.897,-3.568,-5.956,-5.258,-6.014,36.64,37.07,24.14,27.09,31.74,37.81,24.13,24.26,34.2,36.56,72.77,44.99,56.5,63.4,47.71,66.97,42.39,39.88,32.56,48.14,0
01/01/2015,03:00,1.124,1.29,1.662,1.919,3.162,5.842,1.699,2.422,2.66,3.82,6.148,1.368,2.017,2.431,3.805,5.451,1.996,2.843,3.462,4.782,6.9,-3.567,-5.905,-5.252,-6.003,36.64,37.07,24.14,27.09,31.63,37.82,24.13,24.26,34.19,36.53,72.84,44.99,56.5,63.4,47.71,66.98,42.38,39.88,32.56,48.14,0
01/01/2015,03:30,1.145,1.281,1.652,1.908,3.15,5.825,1.704,2.422,2.66,3.819,6.144,1.371,2.018,2.431,3.805,5.448,1.999,2.846,3.464,4.784,6.902,-3.558,-5.873,-5.224,-6.002,36.65,37.08,24.15,27.09,31.62,37.82,24.13,24.26,34.18,36.53,72.9,44.99,56.5,63.4,47.71,66.98,42.38,39.88,32.56,48.14,0
01/01/2015,04:00,1.166,1.276,1.644,1.903,3.139,5.813,1.703,2.419,2.656,3.813,6.137,1.373,2.021,2.431,3.803,5.447,2.004,2.847,3.464,4.784,6.899,-3.518,-5.87,-5.204,-6.002,36.65,37.08,24.16,27.1,31.6,37.82,24.13,24.26,34.18,36.52,72.93,44.99,56.5,63.4,47.71,66.99,42.38,39.88,32.56,48.15,0
01/01/2015,04:30,1.187,1.28,1.649,1.904,3.139,5.81,1.703,2.422,2.657,3.809,6.132,1.371,2.017,2.425,3.797,5.439,2.013,2.853,3.469,4.79,6.906,-3.476,-5.87,-5.188,-5.994,36.65,37.09,24.16,27.1,31.58,37.82,24.13,24.25,34.18,36.49,72.99,45,56.5,63.4,47.71,66.99,42.38,39.87,32.56,48.15,0
