date,time,doy,H_PI_1_1_1,LE_PI_1_1_1,FC_PI_1_1_1,USTAR_1_1_1,WS_1_1_1,WD_1_1_1,FC_PI_f_1_1_1,LE_PI_f_1_1_1,H_PI_f_1_1_1,MO_LENGTH_1_1_1,V_SIGMA_1_1_1,SW_IN_1_1_1,VPD_PI_1_1_1,TA_1_1_1,TS_1_1_1,RECO_PI_1_1_1,GPP_PI_1_1_1
dd/mm/yyyy,hh:mm,-,Wm-2,Wm-2,umolm-2s-1  ,ms-1,ms-1,deg,umolm-2s-1  ,Wm-2,Wm-2,m,ms-1,Wm-2,hPa,C,C,umolm-2s-1,umolm-2s-1
01/01/2016,00:30,1.02,-6.564139,-2.887627,0.66957,0.297459,2.079571,128.429291,2.22481,-2.8876,-6.564139,348.087006,0.388872,0,0,1.148005,4.162,1.72707,-0.49774
01/01/2016,01:00,1.041,0.850964,1.159313,1.285457,0.326406,1.743376,145.325195,2.22481,1.1593,-0.679507,-3547.694092,0.403096,0,0,1.178381,4.16,1.72881,-0.496
01/01/2016,01:30,1.062,-7.408118,1.146053,0.949042,0.237042,1.771888,130.852722,2.22481,1.1461,-7.408118,156.082581,0.380246,0,0,1.174355,4.16,1.72858,-0.49623
01/01/2016,02:00,1.083,-9.037174,1.325097,0.872917,0.285745,1.918055,130.976059,2.22481,1.3251,-9.037174,224.126846,0.288826,0,0,1.205958,4.164,1.7304,-0.49441
01/01/2016,02:30,1.104,-3.851692,-1.180118,1.090443,0.24436,1.656996,114.405556,2.2423353,-1.1801,-3.851692,328.879272,0.217521,0,0,1.349122,4.172,1.73862,-0.50371
01/01/2016,03:00,1.124,-4.926203,1.134368,1.104576,0.321561,1.880952,115.132111,2.3408324,1.1344,-4.926203,585.981079,0.385213,0,0,1.569055,4.176,1.75124,-0.58959
01/01/2016,03:30,1.145,-3.666183,-0.320287,1.042259,0.292295,1.922196,114.75013,2.3259409,-0.32029,-3.666183,591.36438,0.291255,0,0,1.587406,4.178,1.75229,-0.57365
01/01/2016,04:00,1.166,-8.773351,-0.836035,1.037765,0.265573,1.788719,111.017143,2.194468,-0.83603,-8.773351,185.351395,0.262776,0,0,1.645488,4.186,1.75562,-0.43885
01/01/2016,04:30,1.187,-0.955732,0.83715,1.362628,0.298868,1.604889,112.780624,2.1055785,0.83715,-0.955732,2425.021729,0.199826,0,0,1.664785,4.19,1.75672,-0.34886
01/01/2016,05:00,1.208,-4.702301,-0.978239,1.168115,0.185654,1.322971,110.489792,2.1184482,-0.97824,-4.702301,118.145363,0.217321,0,0,1.684083,4.198,1.75783,-0.36062
01/01/2016,05:30,1.229,-0.795395,-0.559149,1.229208,0.164215,1.218172,108.547577,2.0875517,-0.55915,-0.795395,483.3591,0.207951,0,0,1.658069,4.204,1.75634,-0.33121
01/01/2016,06:00,1.249,-9.134074,-4.080706,1.309641,0.20365,1.237042,116.388588,1.9844525,-4.0807,-9.134074,80.28096,0.153286,0,0,1.846408,4.211,1.76711,-0.21734
01/01/2016,06:30,1.27,-3.317131,0.270074,0.644319,0.159696,1.075087,138.25563,2.3397736,0.27007,-3.317131,106.599915,0.527751,0,0,2.163395,4.214,1.7852,-0.55457
01/01/2016,07:00,1.291,5.10647,-5.343116,2.421564,0.267655,1.380429,88.642662,2.0198231,-5.3431,1.533776,-326.010071,0.164952,0,0,1.868259,4.22,1.76836,-0.25146
01/01/2016,07:30,1.312,3.437211,-0.999765,1.176323,0.24468,1.713523,83.764786,1.9660538,-0.99977,3.437211,-370.001465,0.157221,0,0,1.600934,4.23,1.75307,-0.21299
01/01/2016,08:00,1.333,1.545769,-2.569717,1.201834,0.271777,1.975014,94.072289,1.9502082,-2.5697,1.545769,-1127.477173,0.199946,0,0,1.654758,4.238,1.75615,-0.19406
01/01/2016,08:30,1.354,2.924749,-3.335595,2.219496,0.355512,2.179774,90.259636,1.8492924,-3.3356,2.924749,-1333.81189,0.392449,0,0,1.776219,4.241,1.7631,-0.086194
01/01/2016,09:00,1.374,1.283719,-1.063779,1.234595,0.32551,2.020682,100.75116,2.0206887,-1.0638,2.585294,-2332.655273,0.279699,0.950904,0,1.929178,4.255,1.77184,-0.24885
01/01/2016,09:30,1.395,0.747418,-1.352125,1.116365,0.335041,1.867942,98.228882,2.1013115,-1.3521,0.747418,-4368.785156,0.331685,7.002617,0,2.104651,4.262,1.78185,-0.31946
01/01/2016,10:00,1.416,4.519064,-3.051537,1.89944,0.451367,2.477465,91.780319,2.1297858,3.4717,4.519064,-1766.780884,0.572302,17.06363,0,2.296205,4.271,1.79276,-0.33702
01/01/2016,10:30,1.437,11.829313,-2.918694,1.633371,0.494805,2.230608,96.83596,1.633371,-2.9187,11.829313,-889.190186,0.549963,31.77517,0,2.563892,4.269,1.80798,0.1746
01/01/2016,11:00,1.458,12.960326,-3.446163,0.917575,0.568696,2.595328,93.388535,0.917575,-3.4462,12.960326,-1232.223145,0.827531,55.16047,0,2.886387,4.255,1.82625,0.90868
01/01/2016,11:30,1.479,23.409571,3.288345,-0.97948,0.529855,1.920357,106.537361,-0.97948,3.2883,23.409571,-551.756287,0.619307,44.71305,0,3.024984,4.252,1.83409,2.8136
01/01/2016,12:00,1.499,15.490141,1.523025,0.365518,0.464509,2.390101,104.120445,0.365518,1.523,15.490141,-561.8255,0.95404,42.89717,0,3.101908,4.264,1.83843,1.4729
01/01/2016,12:30,1.52,2.174197,2.049179,-0.270098,0.339283,1.813109,149.782013,1.0133666,2.0492,2.174197,-1559.768799,0.583128,30.34541,0,3.108436,4.274,1.8388,0.82543
01/01/2016,13:00,1.541,3.026699,1.692618,0.3867,0.250541,1.51321,115.21962,0.3867,1.6926,3.026699,-451.170898,0.264562,23.38789,0,3.142496,4.288,1.84072,1.454
01/01/2016,13:30,1.562,17.46328,2.643756,0.16953,0.33244,1.308751,105.919609,0.16953,2.6438,17.46328,-182.67868,0.255155,23.35849,0,3.120924,4.291,1.8395,1.67
01/01/2016,14:00,1.583,17.960709,2.986303,0.400042,0.206388,0.851759,112.687874,0.400042,2.9863,17.960709,-42.501595,0.093026,14.29886,0,3.163688,4.286,1.84192,1.4419
01/01/2016,14:30,1.604,12.764424,9.584352,1.984522,0.275838,1.084785,90.663673,1.984522,9.5844,12.764424,-142.771057,0.161672,13.05925,0,3.192828,4.295,1.84356,-0.14096
01/01/2016,15:00,1.624,10.85182,-0.776863,1.964367,0.321888,1.622186,87.299965,1.9027795,1.6292,10.85182,-266.862976,0.307931,8.483353,0,3.19841,4.305,1.84388,-0.058902
01/01/2016,15:30,1.645,28.565571,9.630262,4.242521,0.541215,2.171231,81.045868,4.242521,9.6303,28.565571,-481.874756,0.573357,2.863726,0,3.015717,4.318,1.83356,-2.409
01/01/2016,16:00,1.666,23.390003,5.934033,2.093415,0.548109,2.080729,89.184494,2.093415,5.934,23.390003,-611.258728,0.675452,0,0,2.688362,4.327,1.81504,-0.27838
01/01/2016,16:30,1.687,18.693241,3.286987,2.263919,0.524184,2.180142,94.910088,2.263919,3.287,18.693241,-668.976013,0.789987,0,0,2.489774,4.341,1.80377,-0.46015
01/01/2016,17:00,1.708,17.512764,3.366215,1.75651,0.486424,2.165533,92.833794,1.75651,3.3662,17.512764,-570.592773,0.70867,0,0,2.280968,4.368,1.7919,0.035385
01/01/2016,17:30,1.729,22.015907,9.597699,3.316716,0.539542,2.260261,81.39386,3.316716,9.5977,22.015907,-619.386719,0.786841,0,0,1.985593,4.385,1.77506,-1.5417
01/01/2016,18:00,1.749,19.816992,5.157985,2.602843,0.521958,2.6783,75.977509,2.602843,5.158,19.816992,-622.983826,0.745719,0,0,1.568548,4.399,1.75121,-0.85163
01/01/2016,18:30,1.77,17.695255,4.339282,2.174839,0.538558,2.446776,78.98333,2.174839,4.3393,17.695255,-766.36145,0.764166,0,0,1.216405,4.396,1.731,-0.44384
01/01/2016,19:00,1.791,6.101136,7.175189,2.345101,0.641691,3.011532,77.369637,2.345101,7.1752,6.101136,-3759.632568,0.988227,0,0,0.909866,4.409,1.71335,-0.63175
01/01/2016,19:30,1.812,5.055009,6.375144,0.999475,0.589659,2.996583,72.735268,0.999475,6.3751,5.055009,-3520.871582,0.886974,0,0,0.713738,4.438,1.70204,0.70256
01/01/2016,20:00,1.833,9.305122,12.845758,3.582314,0.706003,2.737723,72.993614,3.582314,12.846,9.305122,-3282.916992,0.900841,0,0,0.533789,4.429,1.69164,-1.8907
01/01/2016,20:30,1.854,9.032556,6.943959,2.711803,0.634801,2.297134,83.696754,2.711803,6.944,9.032556,-2458.415771,0.757048,0,0,0.335956,4.406,1.68019,-1.0316
01/01/2016,21:00,1.874,3.507949,11.101192,3.218546,0.646965,2.677306,83.243118,3.218546,11.101,3.507949,-6700.914551,0.896446,0,0,0.132921,4.406,1.66841,-1.5501
01/01/2016,21:30,1.895,3.389316,10.671083,2.694856,0.64536,2.771104,79.738113,2.694856,10.671,3.389316,-6883.846191,1.039098,0,0,0.006426,4.409,1.66107,-1.0338
01/01/2016,22:00,1.916,8.005589,12.308553,2.745529,0.56841,2.173258,85.525192,2.745529,12.309,8.005589,-1991.246094,0.652559,0,0,-0.047975,4.409,1.65791,-1.0876
01/01/2016,22:30,1.937,2.469558,7.278135,1.513987,0.528345,2.035891,81.286949,1.513987,7.2781,2.469558,-5183.957031,0.611396,0,0,-0.134355,4.402,1.65288,0.1389
01/01/2016,23:00,1.958,-5.614754,16.614298,2.531318,0.526853,2.182897,76.285744,2.531318,16.614,-5.614754,2260.801514,0.599256,0,0,-0.156211,4.389,1.65161,-0.87971
01/01/2016,23:30,1.979,-3.384256,8.315946,1.895322,0.502468,2.456172,73.326729,1.895322,8.3159,-3.384256,3253.735352,0.753333,0,0,-0.174945,4.381,1.65052,-0.2448
02/01/2016,00:00,2,-13.028629,11.937595,1.721894,0.643979,3.156278,79.32209,1.721894,11.938,-13.028629,1779.202393,1.12503,0,0,-0.188284,4.385,1.64974,-0.07215
