date,time,doy,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,P_1_1_1
dd/mm/yyyy,hh:mm,-,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,Wm-2s-1,Wm-2s-1,Wm-2s-1,Wm-2s-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,mm
01/01/2018,00:30,1.02,4.169,4.192,4.261,4.796,5.925,4.451,4.648,4.725,5.28,6.315,4.538,4.598,4.729,5.351,6.057,4.555,4.847,5.152,5.801,6.797,-0.661,-1.173,-2.074,-2.498,36.88,34.14,26.16,28.23,36.58,-9999,26.02,24.77,30.46,33.03,69.29,69.18,66.82,61.71,49.71,49.88,36.65,45.81,34.65,51.76,0
01/01/2018,01:00,1.041,4.194,4.21,4.272,4.794,5.924,4.467,4.649,4.717,5.263,6.299,4.55,4.603,4.731,5.341,6.049,4.585,4.865,5.162,5.809,6.806,-0.581,-1.033,-1.955,-2.399,36.86,34.14,26.15,28.23,36.58,-9999,26.04,24.77,30.47,33.03,69.23,69.18,66.82,61.71,49.72,49.54,36.62,45.81,34.65,51.76,0
01/01/2018,01:30,1.062,4.214,4.221,4.276,4.788,5.915,4.486,4.653,4.718,5.252,6.289,4.553,4.6,4.72,5.32,6.026,4.608,4.871,5.162,5.804,6.805,-0.511,-0.895,-1.835,-2.301,36.84,34.12,26.13,28.23,36.58,-9999,26.04,24.77,30.48,33.03,69.2,69.18,66.82,61.71,49.72,49.17,36.6,45.8,34.66,51.77,0
01/01/2018,02:00,1.083,4.245,4.242,4.294,4.792,5.919,4.524,4.676,4.737,5.26,6.299,4.574,4.611,4.726,5.316,6.021,4.637,4.885,5.169,5.805,6.81,-0.447,-0.765,-1.697,-2.204,36.84,34.11,26.12,28.23,36.58,-9999,26.04,24.79,30.48,33.03,69.14,69.18,66.82,61.71,49.72,48.75,36.57,45.8,34.66,51.77,0
01/01/2018,02:30,1.104,4.27,4.261,4.307,4.79,5.917,4.55,4.688,4.743,5.259,6.295,4.604,4.63,4.739,5.316,6.02,4.664,4.898,5.175,5.809,6.814,-0.37,-0.628,-1.546,-2.109,36.82,34.11,26.11,28.22,36.58,-9999,26.04,24.79,30.48,33.03,69.07,69.17,66.81,61.7,49.71,48.49,36.56,45.79,34.67,51.77,0
01/01/2018,03:00,1.124,4.296,4.28,4.322,4.79,5.913,4.579,4.703,4.753,5.257,6.293,4.644,4.664,4.765,5.331,6.036,4.671,4.886,5.159,5.785,6.792,-0.319,-0.5,-1.407,-2.01,36.79,34.11,26.09,28.21,36.58,-9999,26.04,24.79,30.48,33.03,68.99,69.15,66.8,61.69,49.71,48.27,36.54,45.78,34.67,51.77,0
01/01/2018,03:30,1.145,4.327,4.303,4.339,4.792,5.915,4.59,4.699,4.747,5.238,6.275,4.653,4.667,4.759,5.311,6.016,4.706,4.909,5.174,5.795,6.804,-0.295,-0.393,-1.275,-1.911,36.78,34.1,26.08,28.21,36.58,-9999,26.05,24.79,30.48,33.03,68.96,69.14,66.78,61.68,49.69,48.04,36.52,45.78,34.67,51.77,0
01/01/2018,04:00,1.166,4.365,4.332,4.364,4.805,5.925,4.612,4.709,4.75,5.232,6.27,4.691,4.7,4.783,5.326,6.028,4.73,4.92,5.176,5.791,6.803,-0.221,-0.329,-1.14,-1.812,36.76,34.08,26.06,28.21,36.58,-9999,26.06,24.79,30.48,33.03,68.89,69.13,66.78,61.68,49.69,47.84,36.5,45.77,34.67,51.77,0.314255
01/01/2018,04:30,1.187,4.388,4.353,4.381,4.809,5.925,4.653,4.742,4.778,5.248,6.286,4.721,4.723,4.803,5.33,6.031,4.755,4.928,5.179,5.788,6.801,-0.174,-0.226,-1.017,-1.72,36.75,34.07,26.04,28.21,36.58,-9999,26.07,24.79,30.48,33.03,68.88,69.13,66.78,61.68,49.69,47.67,36.49,45.77,34.67,51.78,1.543806
