index	date	time	Signal_raw_Z	Signal_ref_Z	Runtime_Z
1	02.03.2018	20:32:51	22271.00	11951.00	167962.00
1	02.03.2018	20:33:01	22270.00	11951.00	167972.00
1	02.03.2018	20:33:11	22272.00	11952.00	167982.00
1	02.03.2018	20:33:21	22272.00	11952.00	167992.00
1	02.03.2018	20:33:31	22272.00	11952.00	168002.00
1	02.03.2018	20:33:41	22272.00	11952.00	168012.00
1	02.03.2018	20:33:51	22271.00	11951.00	168022.00
1	02.03.2018	20:34:01	22271.00	11951.00	168032.00
1	02.03.2018	20:34:11	22270.00	11950.00	168042.00
2	03.03.2018	05:04:51	22264.00	11955.00	198682.00
2	03.03.2018	05:05:01	22263.00	11954.00	198692.00
2	03.03.2018	05:05:11	22264.00	11954.00	198702.00
2	03.03.2018	05:05:21	22264.00	11955.00	198712.00
2	03.03.2018	05:05:31	22265.00	11954.00	198722.00
2	03.03.2018	05:05:41	22263.00	11954.00	198732.00
2	03.03.2018	05:05:51	22264.00	11954.00	198742.00
2	03.03.2018	05:06:01	22265.00	11954.00	198752.00
2	03.03.2018	05:06:11	22264.00	11954.00	198762.00
3	03.03.2018	13:36:51	22260.00	11954.00	229402.00
3	03.03.2018	13:37:01	22259.00	11954.00	229412.00
3	03.03.2018	13:37:11	22258.00	11953.00	229422.00
3	03.03.2018	13:37:21	22259.00	11953.00	229432.00
3	03.03.2018	13:37:31	22259.00	11954.00	229442.00
3	03.03.2018	13:37:41	22259.00	11954.00	229452.00
3	03.03.2018	13:37:51	22259.00	11954.00	229462.00
3	03.03.2018	13:38:01	22259.00	11954.00	229472.00
3	03.03.2018	13:38:11	22259.00	11954.00	229482.00
4	03.03.2018	22:08:51	22263.00	11957.00	260122.00
4	03.03.2018	22:09:01	22262.00	11957.00	260132.00
4	03.03.2018	22:09:11	22263.00	11957.00	260142.00
4	03.03.2018	22:09:21	22263.00	11957.00	260152.00
4	03.03.2018	22:09:31	22263.00	11957.00	260162.00
4	03.03.2018	22:09:41	22263.00	11957.00	260172.00
4	03.03.2018	22:09:51	22263.00	11957.00	260182.00
4	03.03.2018	22:10:01	22262.00	11957.00	260192.00
4	03.03.2018	22:10:11	22262.00	11957.00	260202.00
5	04.03.2018	06:40:51	22262.00	11958.00	290842.00
5	04.03.2018	06:41:01	22262.00	11958.00	290852.00
5	04.03.2018	06:41:11	22262.00	11958.00	290862.00
5	04.03.2018	06:41:21	22262.00	11958.00	290872.00
5	04.03.2018	06:41:31	22261.00	11958.00	290882.00
5	04.03.2018	06:41:41	22261.00	11957.00	290892.00
5	04.03.2018	06:41:51	22262.00	11958.00	290902.00
5	04.03.2018	06:42:01	22261.00	11958.00	290912.00
5	04.03.2018	06:42:11	22261.00	11957.00	290922.00
6	04.03.2018	15:12:51	22259.00	11957.00	321562.00
6	04.03.2018	15:13:01	22259.00	11957.00	321572.00
6	04.03.2018	15:13:11	22260.00	11957.00	321582.00
6	04.03.2018	15:13:21	22260.00	11958.00	321592.00
6	04.03.2018	15:13:31	22259.00	11957.00	321602.00
6	04.03.2018	15:13:41	22259.00	11957.00	321612.00
