	Lon	Lat	Datetime	Date	Year	Month	Day	Hour	Minute	Second	salinity	sstskin_c	sstskin_k	windu10	windu10_moment2	pco2sw_corr_split	pressure_met	pco2_air_noaa_2018	pco2_sst
0	-5.027979	50.216161	14/09/2018 00:00	14/09/2018	2018	9	14	0	0	0	34.4174	16.709	289.859	2.05761317	4.23377195	500.01945	1024.1	401.3573	16.642
1	-5.027979	50.216161	14/09/2018 00:00	14/09/2018	2018	9	14	0	0	0	34.4174	16.709	289.859	2.057613169	4.233771952	488.0550485	1024.1	401.3573	16.642
2	-5.027979	50.216161	14/09/2018 01:00	14/09/2018	2018	9	14	1	0	0	34.17596667	16.6811667	289.8311667	2.057613169	4.233771952	550.94484	1023.9	401.3573	16.598
3	-5.027979	50.216161	14/09/2018 02:00	14/09/2018	2018	9	14	2	0	0	33.9364	16.606	289.756	2.572016461	6.615268675	588.0350455	1023.5	401.3573	16.51466667
4	-5.027979	50.216161	14/09/2018 03:00	14/09/2018	2018	9	14	3	0	0	33.7189	16.542	289.692	2.572016461	6.615268675	627.3139386	1022.9	401.3573	16.463
5	-5.027979	50.216161	14/09/2018 04:00	14/09/2018	2018	9	14	4	0	0	33.61511667	16.479	289.629	2.572016461	6.615268675	652.3274798	1022.5	401.3573	16.4075
6	-5.027979	50.216161	14/09/2018 05:00	14/09/2018	2018	9	14	5	0	0	33.76888333	16.479	289.629	3.086419753	9.525986892	631.4023867	1022.6	401.3573	16.43116667
7	-5.027979	50.216161	14/09/2018 06:00	14/09/2018	2018	9	14	6	0	0	34.26418333	16.5185	289.6685	1.543209877	2.381496723	564.7004319	1022.4	401.3573	16.479
8	-5.027979	50.216161	14/09/2018 07:00	14/09/2018	2018	9	14	7	0	0	34.5579	16.5301667	289.6801667	3.086419753	9.525986892	478.7386686	1022.5	401.3573	16.451
9	-5.027979	50.216161	14/09/2018 08:00	14/09/2018	2018	9	14	8	0	0	34.67068333	16.499	289.649	3.600823045	12.9659266	464.8349759	1022.6	401.3573	16.431
10	-5.027979	50.216161	14/09/2018 09:00	14/09/2018	2018	9	14	9	0	0	34.70001667	16.5226667	289.6726667	4.115226337	16.93508781	453.9500412	1022.5	401.3573	16.459
11	-5.027979	50.216161	14/09/2018 10:00	14/09/2018	2018	9	14	10	0	0	34.60853333	16.586	289.736	5.658436214	32.01790039	455.0259268	1023.1	401.3573	16.5465
12	-5.027979	50.216161	14/09/2018 11:00	14/09/2018	2018	9	14	11	0	0	34.39313333	16.7051667	289.8551667	5.658436214	32.01790039	477.6343694	1023.2	401.3573	16.63383333
13	-5.027979	50.216161	14/09/2018 12:00	14/09/2018	2018	9	14	12	0	0	34.2641	16.7846667	289.9346667	6.172839506	38.10394757	497.7468665	1023.1	401.3573	16.74883333
14	-5.027979	50.216161	14/09/2018 13:00	14/09/2018	2018	9	14	13	0	0	34.02756667	16.979	290.129	6.687242798	44.71921624	519.5543488	1023.2	401.3573	16.9115
15	-5.027979	50.216161	14/09/2018 14:00	14/09/2018	2018	9	14	14	0	0	33.78245	17.5301667	290.6801667	6.687242798	44.71921624	549.4216802	1023	401.3573	17.1575
16	-5.027979	50.216161	14/09/2018 15:00	14/09/2018	2018	9	14	15	0	0	33.60675	17.8631667	291.0131667	6.687242798	44.71921624	577.3003716	1023.2	401.3573	17.31216667
17	-5.027979	50.216161	14/09/2018 16:00	14/09/2018	2018	9	14	16	0	0	33.40526667	17.2761667	290.4261667	7.201646091	51.86370641	599.2304119	1023	401.3573	17.04216667
18	-5.027979	50.216161	14/09/2018 17:00	14/09/2018	2018	9	14	17	0	0	33.41215	17.1178333	290.2678333	6.687242798	44.71921624	614.0761625	1023.1	401.3573	17.03816667
19	-5.027979	50.216161	14/09/2018 18:00	14/09/2018	2018	9	14	18	0	0	33.89566667	16.9908333	290.1408333	5.658436214	32.01790039	557.4266805	1023.5	401.3573	16.75666667
20	-5.027979	50.216161	14/09/2018 19:00	14/09/2018	2018	9	14	19	0	0	34.3773	16.6538333	289.8038333	4.115226337	16.93508781	455.862562	1023.7	401.3573	16.55433333
21	-5.027979	50.216161	14/09/2018 20:00	14/09/2018	2018	9	14	20	0	0	34.44298333	16.5383333	289.6883333	3.600823045	12.9659266	447.1334705	1024.1	401.3573	16.475
22	-5.027979	50.216161	14/09/2018 21:00	14/09/2018	2018	9	14	21	0	0	34.50218333	16.5421667	289.6921667	3.086419753	9.525986892	444.3379502	1024.4	401.3573	16.483
23	-5.027979	50.216161	14/09/2018 22:00	14/09/2018	2018	9	14	22	0	0	34.43128333	16.554	289.704	3.600823045	12.9659266	440.2359337	1024.7	401.3573	16.51083333
24	-5.027979	50.216161	14/09/2018 23:00	14/09/2018	2018	9	14	23	0	0	34.22421667	16.59	289.74	4.115226337	16.93508781	461.4213794	1024.5	401.3573	16.546
25	-5.027979	50.216161	15/09/2018 00:00	15/09/2018	2018	9	15	0	0	0	34.09581667	16.622	289.772	3.086419753	9.525986892	484.2182126	1024.7	401.3573	16.57
26	-5.027979	50.216161	15/09/2018 01:00	15/09/2018	2018	9	15	1	0	0	33.97003333	16.654	289.804	2.057613169	4.233771952	518.1124053	1024.6	401.3573	16.59
27	-5.027979	50.216161	15/09/2018 02:00	15/09/2018	2018	9	15	2	0	0	33.78276667	16.6578333	289.8078333	2.572016461	6.615268675	556.681141	1024.6	401.3573	16.578
28	-5.027979	50.216161	15/09/2018 03:00	15/09/2018	2018	9	15	3	0	0	33.64641667	16.618	289.768	2.572016461	6.615268675	589.177747	1024.5	401.3573	16.53433333
29	-5.027979	50.216161	15/09/2018 04:00	15/09/2018	2018	9	15	4	0	0	33.49643333	16.5461667	289.6961667	2.572016461	6.615268675	622.0683448	1024.2	401.3573	16.463
30	-5.027979	50.216161	15/09/2018 05:00	15/09/2018	2018	9	15	5	0	0	33.44066667	16.467	289.617	2.572016461	6.615268675	635.9583025	1024.6	401.3573	16.4115
31	-5.027979	50.216161	15/09/2018 06:00	15/09/2018	2018	9	15	6	0	0	33.67336667	16.459	289.609	2.572016461	6.615268675	610.7105336	1024.7	401.3573	16.41516667
32	-5.027979	50.216161	15/09/2018 07:00	15/09/2018	2018	9	15	7	0	0	34.12721667	16.455	289.605	1.543209877	2.381496723	525.3824516	1025.1	401.3573	16.37583333
33	-5.027979	50.216161	15/09/2018 08:00	15/09/2018	2018	9	15	8	0	0	34.22023333	16.3993333	289.5493333	2.057613169	4.233771952	477.6809154	1025.2	401.3573	16.368
34	-5.027979	50.216161	15/09/2018 09:00	15/09/2018	2018	9	15	9	0	0	34.33653333	16.443	289.593	3.086419753	9.525986892	469.8694413	1025.2	401.3573	16.39566667
35	-5.027979	50.216161	15/09/2018 10:00	15/09/2018	2018	9	15	10	0	0	34.31441667	16.511	289.661	4.62962963	21.43347051	462.2377847	1025.2	401.3573	16.47883333
36	-5.027979	50.216161	15/09/2018 11:00	15/09/2018	2018	9	15	11	0	0	34.20183333	16.598	289.748	4.62962963	21.43347051	477.5080269	1025.1	401.3573	16.562
37	-5.027979	50.216161	15/09/2018 12:00	15/09/2018	2018	9	15	12	0	0	34.0442	16.6416667	289.7916667	4.62962963	21.43347051	488.7705085	1024.7	401.3573	16.61
38	-5.027979	50.216161	15/09/2018 13:00	15/09/2018	2018	9	15	13	0	0	33.8941	16.7568333	289.9068333	5.658436214	32.01790039	501.7629623	1024.6	401.3573	16.68916667
39	-5.027979	50.216161	15/09/2018 14:00	15/09/2018	2018	9	15	14	0	0	33.79578333	16.7608333	289.9108333	5.144032922	26.4610747	519.4173626	1024.2	401.3573	16.75283333
40	-5.027979	50.216161	15/09/2018 15:00	15/09/2018	2018	9	15	15	0	0	33.6367	16.836	289.986	5.144032922	26.4610747	535.7537341	1023.3	401.3573	16.81216667
41	-5.027979	50.216161	15/09/2018 16:00	15/09/2018	2018	9	15	16	0	0	33.55491667	16.8878333	290.0378333	6.172839506	38.10394757	545.8861117	1022.7	401.3573	16.78833333
42	-5.027979	50.216161	15/09/2018 17:00	15/09/2018	2018	9	15	17	0	0	33.58291667	16.8203333	289.9703333	4.62962963	21.43347051	553.8620806	1022.6	401.3573	16.705
43	-5.027979	50.216161	15/09/2018 18:00	15/09/2018	2018	9	15	18	0	0	33.71875	16.737	289.887	5.144032922	26.4610747	539.0687985	1022.2	401.3573	16.63366667
44	-5.027979	50.216161	15/09/2018 19:00	15/09/2018	2018	9	15	19	0	0	33.9001	16.598	289.748	5.144032922	26.4610747	521.9472118	1022.1	401.3573	16.48283333
45	-5.027979	50.216161	15/09/2018 20:00	15/09/2018	2018	9	15	20	0	0	34.15995	16.475	289.625	4.62962963	21.43347051	479.1369467	1021.8	401.3573	16.38366667
46	-5.027979	50.216161	15/09/2018 21:00	15/09/2018	2018	9	15	21	0	0	34.23121667	16.3995	289.5495	5.144032922	26.4610747	452.7850467	1021.5	401.3573	16.332
47	-5.027979	50.216161	15/09/2018 22:00	15/09/2018	2018	9	15	22	0	0	34.28006667	16.3876667	289.5376667	5.658436214	32.01790039	456.1301576	1021.3	401.3573	16.348
48	-5.027979	50.216161	15/09/2018 23:00	15/09/2018	2018	9	15	23	0	0	34.17453333	16.4035	289.5535	6.687242798	44.71921624	460.7592003	1020.5	401.3573	16.348
49	-5.027979	50.216161	16/09/2018 00:00	16/09/2018	2018	9	16	0	0	0	34.03271667	16.4035	289.5535	6.687242798	44.71921624	504.0990609	1020.3	402.4093	16.344
50	-5.027979	50.216161	16/09/2018 01:00	16/09/2018	2018	9	16	1	0	0	33.90001667	16.4111667	289.5611667	7.201646091	51.86370641	504.8682874	1019.2	402.4093	16.364
51	-5.027979	50.216161	16/09/2018 02:00	16/09/2018	2018	9	16	2	0	0	33.7694	16.419	289.569	7.716049383	59.53741808	531.7199757	1018.4	402.4093	16.36
52	-5.027979	50.216161	16/09/2018 03:00	16/09/2018	2018	9	16	3	0	0	33.66841667	16.431	289.581	7.716049383	59.53741808	557.6793615	1017.9	402.4093	16.368
53	-5.027979	50.216161	16/09/2018 04:00	16/09/2018	2018	9	16	4	0	0	33.57301667	16.431	289.581	7.201646091	51.86370641	582.6358479	1017.4	402.4093	16.368
54	-5.027979	50.216161	16/09/2018 05:00	16/09/2018	2018	9	16	5	0	0	33.5483	16.435	289.585	6.172839506	38.10394757	588.8697799	1017	402.4093	16.36
55	-5.027979	50.216161	16/09/2018 06:00	16/09/2018	2018	9	16	6	0	0	33.6485	16.431	289.581	6.172839506	38.10394757	573.4047709	1017.2	402.4093	16.372
56	-5.027979	50.216161	16/09/2018 07:00	16/09/2018	2018	9	16	7	0	0	33.75036667	16.4191667	289.5691667	5.144032922	26.4610747	547.1395627	1017.5	402.4093	16.34
57	-5.027979	50.216161	16/09/2018 08:00	16/09/2018	2018	9	16	8	0	0	33.9074	16.384	289.534	6.687242798	44.71921624	511.9035668	1017.1	402.4093	16.312
58	-5.027979	50.216161	16/09/2018 09:00	16/09/2018	2018	9	16	9	0	0	34.0591	16.384	289.534	7.201646091	51.86370641	500.0710227	1017.5	402.4093	16.316
59	-5.027979	50.216161	16/09/2018 10:00	16/09/2018	2018	9	16	10	0	0	34.09903333	16.372	289.522	6.687242798	44.71921624	499.8061791	1017.7	402.4093	16.3
60	-5.027979	50.216161	16/09/2018 11:00	16/09/2018	2018	9	16	11	0	0	34.06923333	16.4115	289.5615	7.201646091	51.86370641	477.6725539	1017.2	402.4093	16.3915
61	-5.027979	50.216161	16/09/2018 12:00	16/09/2018	2018	9	16	12	0	0	33.96896667	16.5265	289.6765	7.716049383	59.53741808	491.8499346	1017.1	402.4093	16.447
62	-5.027979	50.216161	16/09/2018 13:00	16/09/2018	2018	9	16	13	0	0	33.86816667	16.5858333	289.7358333	7.716049383	59.53741808	500.0188313	1017.2	402.4093	16.57033333
63	-5.027979	50.216161	16/09/2018 14:00	16/09/2018	2018	9	16	14	0	0	33.68651667	16.7091667	289.8591667	7.201646091	51.86370641	524.1372424	1017.1	402.4093	16.70133333
64	-5.027979	50.216161	16/09/2018 15:00	16/09/2018	2018	9	16	15	0	0	33.50838333	16.84	289.99	6.687242798	44.71921624	537.0954859	1016.9	402.4093	16.7805
65	-5.027979	50.216161	16/09/2018 16:00	16/09/2018	2018	9	16	16	0	0	33.3905	16.8718333	290.0218333	6.172839506	38.10394757	564.8285498	1016.7	402.4093	16.78083333
66	-5.027979	50.216161	16/09/2018 17:00	16/09/2018	2018	9	16	17	0	0	33.39031667	16.848	289.998	5.658436214	32.01790039	587.021981	1016.7	402.4093	16.77266667
67	-5.027979	50.216161	16/09/2018 18:00	16/09/2018	2018	9	16	18	0	0	33.44083333	16.828	289.978	5.658436214	32.01790039	558.2362673	1016.8	402.4093	16.72516667
68	-5.027979	50.216161	16/09/2018 19:00	16/09/2018	2018	9	16	19	0	0	33.52485	16.733	289.883	5.658436214	32.01790039	551.7344025	1016.9	402.4093	16.65783333
69	-5.027979	50.216161	16/09/2018 20:00	16/09/2018	2018	9	16	20	0	0	33.63416667	16.745	289.895	5.658436214	32.01790039	534.3745208	1016.8	402.4093	16.6615
70	-5.027979	50.216161	16/09/2018 21:00	16/09/2018	2018	9	16	21	0	0	33.77536667	16.6933333	289.8433333	5.658436214	32.01790039	509.1069141	1017.1	402.4093	16.59
71	-5.027979	50.216161	16/09/2018 22:00	16/09/2018	2018	9	16	22	0	0	33.90043333	16.634	289.784	5.658436214	32.01790039	487.652884	1016.8	402.4093	16.546
72	-5.027979	50.216161	16/09/2018 23:00	16/09/2018	2018	9	16	23	0	0	33.85336667	16.598	289.748	5.658436214	32.01790039	502.5372275	1016.4	402.4093	16.546
73	-5.027979	50.216161	17/09/2018 00:00	17/09/2018	2018	9	17	0	0	0	33.7788	16.642	289.792	5.658436214	32.01790039	489.7331596	1016.1	402.4093	16.566
74	-5.027979	50.216161	17/09/2018 01:00	17/09/2018	2018	9	17	1	0	0	33.74513333	16.6575	289.8075	6.687242798	44.71921624	514.90264	1015.7	402.4093	16.622
75	-5.027979	50.216161	17/09/2018 02:00	17/09/2018	2018	9	17	2	0	0	33.58241667	16.709	289.859	6.172839506	38.10394757	550.660173	1015.4	402.4093	16.6615
76	-5.027979	50.216161	17/09/2018 03:00	17/09/2018	2018	9	17	3	0	0	33.45193333	16.753	289.903	5.658436214	32.01790039	575.8613861	1014.8	402.4093	16.697
77	-5.027979	50.216161	17/09/2018 04:00	17/09/2018	2018	9	17	4	0	0	33.38028333	16.7921667	289.9421667	5.144032922	26.4610747	593.682635	1014.3	402.4093	16.725
78	-5.027979	50.216161	17/09/2018 05:00	17/09/2018	2018	9	17	5	0	0	33.34938333	16.796	289.946	4.62962963	21.43347051	622.6402872	1013.9	402.4093	16.725
79	-5.027979	50.216161	17/09/2018 06:00	17/09/2018	2018	9	17	6	0	0	33.33983333	16.7766667	289.9266667	4.62962963	21.43347051	619.9222582	1013.8	402.4093	16.693
80	-5.027979	50.216161	17/09/2018 07:00	17/09/2018	2018	9	17	7	0	0	33.43278333	16.741	289.891	5.658436214	32.01790039	591.5617902	1013.7	402.4093	16.6655
81	-5.027979	50.216161	17/09/2018 08:00	17/09/2018	2018	9	17	8	0	0	33.47788333	16.737	289.887	6.172839506	38.10394757	582.7773779	1013.5	402.4093	16.689
82	-5.027979	50.216161	17/09/2018 09:00	17/09/2018	2018	9	17	9	0	0	33.51036667	16.749	289.899	7.201646091	51.86370641	569.5240836	1013	402.4093	16.689
83	-5.027979	50.216161	17/09/2018 10:00	17/09/2018	2018	9	17	10	0	0	33.59483333	16.7648333	289.9148333	7.716049383	59.53741808	560.6902027	1012.6	402.4093	16.705
84	-5.027979	50.216161	17/09/2018 11:00	17/09/2018	2018	9	17	11	0	0	33.75966667	16.7766667	289.9266667	8.230452675	67.74035123	520.0926128	1011.8	402.4093	16.68516667
85	-5.027979	50.216161	17/09/2018 12:00	17/09/2018	2018	9	17	12	0	0	33.78163333	16.7566667	289.9066667	8.744855967	76.47250588	497.9511049	1011.1	402.4093	16.733
86	-5.027979	50.216161	17/09/2018 13:00	17/09/2018	2018	9	17	13	0	0	33.61221667	16.9431667	290.0931667	9.773662551	95.52447967	512.7628204	1010.3	402.4093	16.90333333
87	-5.027979	50.216161	17/09/2018 14:00	17/09/2018	2018	9	17	14	0	0	33.49448333	17.1851667	290.3351667	10.28806584	105.8442988	519.4123965	1009.3	402.4093	17.16933333
88	-5.027979	50.216161	17/09/2018 15:00	17/09/2018	2018	9	17	15	0	0	33.3084	17.8076667	290.9576667	10.80246914	116.6933394	525.6099966	1008	402.4093	17.35183333
89	-5.027979	50.216161	17/09/2018 16:00	17/09/2018	2018	9	17	16	0	0	33.27356667	17.3001667	290.4501667	10.80246914	116.6933394	542.9941206	1007.1	402.4093	17.118
90	-5.027979	50.216161	17/09/2018 17:00	17/09/2018	2018	9	17	17	0	0	33.28516667	17.201	290.351	10.28806584	105.8442988	538.0335921	1006.3	402.4093	17.126
91	-5.027979	50.216161	17/09/2018 18:00	17/09/2018	2018	9	17	18	0	0	33.25343333	17.1573333	290.3073333	9.773662551	95.52447967	546.0098506	1005.3	402.4093	17.062
92	-5.027979	50.216161	17/09/2018 19:00	17/09/2018	2018	9	17	19	0	0	33.30573333	17.082	290.232	9.259259259	85.73388203	550.1534228	1004.5	402.4093	16.995
93	-5.027979	50.216161	17/09/2018 20:00	17/09/2018	2018	9	17	20	0	0	33.39215	17.0265	290.1765	9.773662551	95.52447967	538.3140264	1003.6	402.4093	16.959
94	-5.027979	50.216161	17/09/2018 21:00	17/09/2018	2018	9	17	21	0	0	33.48361667	17.0026667	290.1526667	10.80246914	116.6933394	520.5141297	1002.3	402.4093	16.89166667
95	-5.027979	50.216161	17/09/2018 22:00	17/09/2018	2018	9	17	22	0	0	33.60916667	16.8796667	290.0296667	11.83127572	139.9790852	514.9745948	1001.5	402.4093	16.7885
