,Lon,Lat,Temperature,Salinity,Depth
0,-5.0465792,50.1939277,7.4669,32.178,0.14915
1,-5.0465792,50.1939277,7.4633,32.152,0.44742
2,-5.0465792,50.1939277,7.4639,32.175,0.7457
3,-5.0465792,50.1939277,7.4657,32.188,1.044
4,-5.0465792,50.1939277,7.468,32.198,1.3423
5,-5.0465792,50.1939277,7.4675,32.172,1.6405
6,-5.0465792,50.1939277,7.4682,32.158,1.9388
7,-5.0465792,50.1939277,7.4688,32.176,2.2371
8,-5.0465792,50.1939277,7.4694,32.214,2.5354
9,-5.0465792,50.1939277,7.4697,32.302,2.8336
10,-5.0465792,50.1939277,7.4709,32.413,3.1319
11,-5.0465792,50.1939277,7.4728,32.456,3.4301
12,-5.0465792,50.1939277,7.476,32.494,3.7283
13,-5.0465792,50.1939277,7.4799,32.543,4.0265
14,-5.0465792,50.1939277,7.4812,32.564,4.3247
15,-5.0465792,50.1939277,7.4828,32.613,4.6229
16,-5.0465792,50.1939277,7.4853,32.661,4.921
17,-5.0465792,50.1939277,7.4913,32.747,5.2192
18,-5.0465792,50.1939277,7.4945,32.835,5.5173
19,-5.0465792,50.1939277,7.4986,32.895,5.8154
20,-5.0465792,50.1939277,7.5093,32.945,6.1135
21,-5.0465792,50.1939277,7.5201,33.032,6.4116
22,-5.0465792,50.1939277,7.5267,33.101,6.7097
23,-5.0465792,50.1939277,7.532,33.136,7.0078
24,-5.0465792,50.1939277,7.5412,33.246,7.3058
25,-5.0465792,50.1939277,7.5494,33.381,7.6038
26,-5.0465792,50.1939277,7.5579,33.455,7.9018
27,-5.0465792,50.1939277,7.5677,33.536,8.1998
28,-5.0465792,50.1939277,7.5754,33.574,8.4977
29,-5.0465792,50.1939277,7.5791,33.601,8.7957
30,-5.0465792,50.1939277,7.582,33.625,9.0936
31,-5.0465792,50.1939277,7.5833,33.639,9.3916
32,-5.0465792,50.1939277,7.5852,33.65,9.6895
33,-5.0465792,50.1939277,7.5862,33.659,9.9875
34,-5.0465792,50.1939277,7.5858,33.668,10.285
35,-5.0465792,50.1939277,7.5818,33.711,10.583
36,-5.0465792,50.1939277,7.5804,33.749,10.881
37,-5.0465792,50.1939277,7.5725,33.783,11.179
38,-5.0465792,50.1939277,7.5657,33.8,11.477
39,-5.0465792,50.1939277,7.563,33.833,11.775
40,-5.0465792,50.1939277,7.5645,33.913,12.073
41,-5.0465792,50.1939277,7.5617,33.984,12.371
42,-5.0465792,50.1939277,7.5611,34.017,12.669
43,-5.0465792,50.1939277,7.5666,34.03,12.966
44,-5.0465792,50.1939277,7.5713,34.056,13.264
45,-5.0465792,50.1939277,7.5747,34.077,13.562
46,-5.0465792,50.1939277,7.5785,34.086,13.86
47,-5.0465792,50.1939277,7.5798,34.1,14.158
48,-5.0465792,50.1939277,7.5813,34.115,14.456
49,-5.0465792,50.1939277,7.5819,34.127,14.753
50,-5.0465792,50.1939277,7.5821,34.133,15.051
51,-5.0465792,50.1939277,7.5823,34.136,15.349
52,-5.0465792,50.1939277,7.5825,34.141,15.647
53,-5.0465792,50.1939277,7.5814,34.136,15.945
54,-5.0465792,50.1939277,7.5808,34.147,16.242
55,-5.0465792,50.1939277,7.5792,34.153,16.54
56,-5.0465792,50.1939277,7.5781,34.164,16.838
57,-5.0465792,50.1939277,7.579,34.177,17.136
58,-5.0465792,50.1939277,7.5806,34.169,17.325
