 CO emission in mixing ratio change/s month:           1
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  4.341032592049983E-015  2.219799236305787E-015
  0.000000000000000E+000  0.000000000000000E+000  1.786923465168169E-015
  1.023370795710476E-015  2.362901265629023E-015  2.892331241507923E-015
  4.137262063394659E-015  4.308769891389261E-015  2.202825573782724E-015
  1.531219797589690E-015  1.253745566095410E-015  1.329653285456920E-015
  4.849550755519776E-016  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  5.325086544195040E-016
  1.620110683659374E-016  0.000000000000000E+000  1.881077428222355E-016
  1.545429903808181E-015  1.673319205177760E-015  2.567641554104582E-015
  4.510679489972008E-015  3.314212909213688E-015  2.664428670577770E-015
  7.529376165925793E-015  1.022155704024391E-014  9.778368674572295E-015
  9.722883738313609E-015  2.888092660935305E-015  0.000000000000000E+000
  5.912191125580095E-015  2.429701761370240E-014  2.283262243193730E-014
  1.858819892291307E-014  1.574831889480222E-014  1.560308738662865E-014
  1.528020740906063E-014  1.314019387135021E-014  1.194856481692431E-014
  1.172423781483603E-014  9.607694078762567E-015  8.207354484596732E-015
  8.206464023892254E-015  6.310831381128411E-015  8.480744046340207E-015
