Station,Sensitivity,GEE,Respiration,Anthro,Point source,Population
TRN180,4.119231356479406,-4.341790507644184,3.599381461560017,2.210931207588432,0.5308113572973963,34984.87568926524
SVB150,4.6060360311086175,-2.513977743566146,1.78558710503279,0.5884449327790715,0.27301625454566913,4990.216921296243
NOR100,5.152869924150055,-3.228770136455033,2.379009646506503,1.4229758308723146,0.5088800219111221,12459.300093660233
HTM150,4.741051288124554,-3.133221732436616,2.240099826085924,2.0254830656026015,0.6742119567595066,21630.50257271253
SAC100,4.474882783394474,-4.010880370891223,3.682945994820755,6.162007865520947,0.8597868697436779,107120.17047026292
PUY,3.069688639308463,-4.904936930119713,2.814596862051022,1.138517574916046,0.3339187810906608,16889.419198944313
PRS,2.3337128445026614,-3.358609263447037,2.1310572676906308,0.9426772988164109,0.2808119691688342,16619.382935612102
OXK163,4.272567495610693,-5.250175294263948,3.880256691139446,3.5936527774140807,1.2997408051117563,45496.57877091617
OPE120,4.362809738588416,-4.958329939731424,3.9546331725156176,2.6853906443162825,0.864295800584721,34181.24311619034
LUT,5.111802662402036,-3.293748010830224,2.679843761324632,3.8740706083432745,2.0267470856608787,43870.9951825821
CES200,3.985664608332042,-3.4490631859410232,2.394061791741583,5.845161047247499,3.0431796825223945,61152.80722170295
TOH147,4.089708408394807,-4.610607907731005,3.3822046857104335,4.078740994007352,1.724786734502886,43805.73208394813
JUE,4.454471213144205,-4.537832132217228,3.627052802406439,16.810076358305174,7.548219177602667,79464.62124833438
STK200,4.282504076076189,-3.98731674000119,2.90223931141565,4.051682557195558,2.3572468011990613,44184.53232028167
KIT200,4.8536219234107385,-5.8645782008263625,4.8233930793629325,6.52089263265109,3.8463381669789563,78864.02155927784
LMP,10.572394545943943,-2.5401332016450566,1.870371434347161,1.021369561755987,0.3181885086954715,15558.346336773162
LIN099,5.115596232762704,-4.8051021857213625,4.335203290273711,5.489680063649389,2.8912030390147057,47644.58478234527
KRE250,4.009358987581136,-5.193748237251258,3.7155664230373326,3.0030196363945807,1.1497158534563319,36200.06233176282
JFJ,2.480691004212801,-4.119501749696483,2.4409994256546734,1.1299256814508434,0.3335189296917129,19793.892678564
CMN,8.756533566624613,-8.777152599809268,13.422070772986952,2.470445530995608,0.6998155891852359,49174.39984446168
HPB131,5.209643418945893,-7.58514515460488,4.786437797614402,3.1847164841981193,0.9588363024275909,56535.93550877002
HEL,7.25785319681888,-2.9319513890914517,2.2553214601626927,3.1827665481385514,1.7768368666698986,31046.55824181769
GAT344,3.9889714682981836,-4.058280510260196,2.8125342905598028,3.203753914281947,1.5054505955703188,34639.556769974
BIR,5.0032537644927935,-2.6944629860971223,2.1321850816211545,1.6492077237076657,0.3627559152166312,10808.616738474151
UTO,5.564070197502921,-2.508258594025548,1.7668113400179666,1.2311343323135255,0.427907257573266,10220.554061449933
PUI,4.613513323196817,-2.828889690356731,2.09983405826543,1.1142199594372182,0.36235118195565036,7518.117071652688
PAL,9.559965337919104,-2.504883149400912,2.5684590900708333,0.37835361643507925,0.16592750272900833,2940.287977370093
SMR125,4.991048594128279,-3.2035384389967843,2.334001380729135,1.1929446193749984,0.4059155264656195,9253.756318482918
IPR100,7.8617582458790265,-8.210932490210086,7.54018670977334,7.095422456529573,2.198572804059165,133727.24683513577
