date,time,doy,H_1_1_1,LE_1_1_1,FC_1_1_1,USTAR_1_1_1,WS_1_1_1,WD_1_1_1,FC_PI_1_1_1,LE_PI_1_1_1,H_PI_1_1_1,MO_LENGTH_1_1_1,V_SIGMA_1_1_1,SW_IN_1_1_1,VPD_PI_1_1_1,TA_1_1_1,TS_1_1_1,RECO_PI_1_1_1,GPP_PI_1_1_1
dd/mm/yyyy,hh:mm,-,Wm-2,Wm-2,umolm-2s-1  ,ms-1,ms-1,deg,umolm-2s-1  ,Wm-2,Wm-2,m,ms-1,Wm-2,hPa,C,C,umolm-2s-1,umolm-2s-1
01/01/2018,00:30,1.02,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,3.2827,-17.91,-9999,-9999,0,0,6.203613,4.192,0.95612,0.25753
01/01/2018,01:00,1.041,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,3.1251,-18.107,-9999,-9999,0,0,6.227391,4.21,0.95775,0.25916
01/01/2018,01:30,1.062,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.9863,-18.283,-9999,-9999,0,0,6.275002,4.221,0.96103,0.26244
01/01/2018,02:00,1.083,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.8673,-18.41,-9999,-9999,0,0,6.311217,4.242,0.96352,0.26493
01/01/2018,02:30,1.104,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.8673,-18.468,-9999,-9999,0,0,6.30618,4.261,0.96317,0.26458
01/01/2018,03:00,1.124,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.7596,-18.568,-9999,-9999,0,0,6.421045,4.28,0.9711,0.27251
01/01/2018,03:30,1.145,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.6645,-18.616,-9999,-9999,0,0,6.47415,4.303,0.97478,0.27619
01/01/2018,04:00,1.166,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.6645,-18.664,-9999,-9999,0,0,6.501992,4.332,0.97671,0.27812
01/01/2018,04:30,1.187,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.6645,-18.696,-9999,-9999,0,0,6.55922,4.353,0.98068,0.28209
01/01/2018,05:00,1.208,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.6645,-18.764,-9999,-9999,0,0,6.5158,4.371,0.97766,0.27907
01/01/2018,05:30,1.229,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.5836,-18.765,-9999,-9999,0,0,6.358621,4.402,0.96679,0.2682
01/01/2018,06:00,1.249,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.522,-18.771,-9999,-9999,0,0,6.331913,4.425,0.96495,0.26636
01/01/2018,06:30,1.27,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.4592,-18.748,-9999,-9999,0,0,6.289382,4.455,0.96202,0.26343
01/01/2018,07:00,1.291,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.4592,-18.743,-9999,-9999,0,0,6.16085,4.486,0.95319,0.2546
01/01/2018,07:30,1.312,-9999,-9999,-9999,-9999,-9999,-9999,0.69859,2.4592,-18.787,-9999,-9999,0,0,6.113796,4.507,0.94996,0.25137
01/01/2018,08:00,1.333,-9999,-9999,-9999,-9999,-9999,-9999,0.70261,2.4392,-18.796,-9999,-9999,0,0,6.030474,4.523,0.94427,0.24166
