date,time,doy,H_1_1_1,LE_1_1_1,FC_1_1_1,USTAR_1_1_1,WS_1_1_1,WD_1_1_1,FC_PI_1_1_1,LE_PI_1_1_1,H_PI_1_1_1,MO_LENGTH_1_1_1,V_SIGMA_1_1_1,SW_IN_1_1_1,VPD_PI_1_1_1,TA_1_1_1,TS_1_1_1,RECO_PI_1_1_1,GPP_PI_1_1_1
dd/mm/yyyy,hh:mm,-,Wm-2,Wm-2,umolm-2s-1  ,ms-1,ms-1,deg,umolm-2s-1  ,Wm-2,Wm-2,m,ms-1,Wm-2,hPa,C,C,umolm-2s-1,umolm-2s-1
01/01/2015,00:30,1.02,-31.128,-9999,-9999,0.60065,4.037725,256.662201,-0.949667,3.364,-31.128,604.359192,1.169412,0,2.1331,3.4217,2.3857,1.09469,0.12751
01/01/2015,01:00,1.041,-48.744,-9999,-9999,0.68125,4.083593,256.870026,-0.90198,3.173,-48.744,563.085876,1.147135,0,2.1042,3.2696,2.4009,1.08978,0.091756
01/01/2015,01:30,1.062,-49.55,1.764973,-2.216599,0.75892,4.716897,259.879669,-2.216599,1.765,-49.55,765.7948,1.506514,0,2.119,3.2043,1.315,1.08768,3.3043
01/01/2015,02:00,1.083,-53.657,3.588917,-9999,0.80236,4.941587,264.56842,-3.030106,3.589,-53.657,835.701233,2.388021,0,2.1247,3.1582,1.315,1.08619,0.075827
01/01/2015,02:30,1.104,-57.079,3.959695,1.139223,0.74792,4.624076,260.218506,1.139223,3.96,-57.079,636.278137,2.088044,0,2.1189,3.0597,1.304,1.083,-0.056221
01/01/2015,03:00,1.124,-42.904,11.493666,8.80479,0.81706,5.148121,256.084747,8.80479,11.494,-42.904,1103.658447,1.734336,0,2.1597,3.0588,1.29,1.08297,-7.7218
01/01/2015,03:30,1.145,-49.94,3.146616,-9999,0.75542,4.879032,256.926331,-7.346495,3.147,-49.94,749.34375,1.849252,0,2.202,3.0398,1.281,1.08236,0.084535
01/01/2015,04:00,1.166,-31.879,3.68117,-2.108987,0.5505,4.041463,250.199997,-2.108987,3.681,-31.879,454.281219,1.263063,0,2.1847,3.128,1.276,1.08521,3.1942
01/01/2015,04:30,1.187,-44.523,-9999,-9999,0.63704,4.264266,247.175308,-3.066275,3.127,-44.523,504.076508,1.338981,0,2.2288,3.3587,1.28,1.09266,0.091922
01/01/2015,05:00,1.208,-28.574,0.600994,-9999,0.61205,3.981685,237.679504,-3.769532,0.601,-28.574,696.580994,1.0752,0,2.2142,3.4414,1.282,1.09532,0.081351
01/01/2015,05:30,1.229,-27.129,-9999,-9999,0.50126,3.42337,232.569809,5.604179,3.033,-27.129,403.037933,0.872565,0,2.1707,3.413,1.29,1.09441,0.080436
01/01/2015,06:00,1.249,-51.126,-9999,-9999,0.70498,3.588688,222.465286,-6.366119,3.177,-51.126,594.949646,0.913492,0,2.1784,3.6693,1.292,1.10265,0.066859
01/01/2015,06:30,1.27,-34.606,2.103029,2.228978,0.56992,3.666731,227.609756,2.228978,2.103,-34.606,464.398712,0.969175,0,2.1261,3.9289,1.299,1.11098,-1.118
01/01/2015,07:00,1.291,-32.376,1.245108,1.107193,0.64973,4.103655,231.978699,1.107193,1.245,-32.376,735.498047,1.146502,0,2.1905,4.0569,1.317,1.11508,0.0078878
