DateTime;FIT;Nuclear;CorrectedFIT;ffCO2
2006-03-11;54.21526;0;54.21526;0
2006-03-12;54.20453;0;54.20453;0
2006-03-13;54.19454;0;54.19454;0
2006-03-14;54.1853;0;54.1853;0
2006-03-15;54.1768;0;54.1768;0
2006-03-16;54.16904;0;54.16904;0
2006-03-17;54.16202;0;54.16202;0
2006-03-18;54.15574;0;54.15574;0
2006-03-19;54.1502;0;54.1502;0
2006-03-20;54.1454;0;54.1454;0
2006-03-21;54.14133;0;54.14133;0
2006-03-22;54.138;0;54.138;0
2006-03-23;54.13539;0;54.13539;0
2006-03-24;54.13351;0;54.13351;0
2006-03-25;54.13236;0;54.13236;0
2006-03-26;54.13193;0;54.13193;0
2006-03-27;54.13222;0;54.13222;0
2006-03-28;54.13323;0;54.13323;0
2006-03-29;54.13495;0;54.13495;0
2006-03-30;54.13738;0;54.13738;0
2006-03-31;54.14052;0;54.14052;0
2006-04-01;54.14436;0;54.14436;0
2006-04-02;54.1489;0;54.1489;0
2006-04-03;54.15413;0;54.15413;0
2006-04-04;54.16006;0;54.16006;0
2006-04-05;54.16667;0;54.16667;0
2006-04-06;54.17396;0;54.17396;0
2006-04-07;54.18194;0;54.18194;0
2006-04-08;54.19058;0;54.19058;0
2006-04-09;54.19989;0;54.19989;0
2006-04-10;54.20986;0;54.20986;0
2006-04-11;54.22049;0;54.22049;0
2006-04-12;54.23178;0;54.23178;0
2006-04-13;54.2437;0;54.2437;0
2006-04-14;54.25627;0;54.25627;0
2006-04-15;54.26947;0;54.26947;0
2006-04-16;54.2833;0;54.2833;0
2006-04-17;54.29775;0;54.29775;0
2006-04-18;54.31282;0;54.31282;0
2006-04-19;54.32849;0;54.32849;0
2006-04-20;54.34477;0;54.34477;0
2006-04-21;54.36164;0;54.36164;0
2006-04-22;54.3791;0;54.3791;0
2006-04-23;54.39714;0;54.39714;0
2006-04-24;54.41575;0;54.41575;0
2006-04-25;54.43494;0;54.43494;0
2006-04-26;54.45468;0;54.45468;0
2006-04-27;54.47497;0;54.47497;0
2006-04-28;54.49581;0;54.49581;0
2006-04-29;54.51718;0;54.51718;0
2006-04-30;54.53908;0;54.53908;0
2006-05-01;54.56149;0;54.56149;0
2006-05-02;54.58443;0;54.58443;0
2006-05-03;54.60786;0;54.60786;0
2006-05-04;54.63179;0;54.63179;0
2006-05-05;54.6562;0;54.6562;0
2006-05-06;54.68109;0;54.68109;0
2006-05-07;54.70645;0;54.70645;0
2006-05-08;54.73227;0;54.73227;0
2006-05-09;54.75854;0;54.75854;0
2006-05-10;54.78525;0;54.78525;0
2006-05-11;54.81239;0;54.81239;0
2006-05-12;54.83995;0;54.83995;0
2006-05-13;54.86793;0;54.86793;0
2006-05-14;54.89631;0;54.89631;0
2006-05-15;54.92509;0;54.92509;0
2006-05-16;54.95425;0;54.95425;0
2006-05-17;54.98378;0;54.98378;0
2006-05-18;55.01368;0;55.01368;0
2006-05-19;55.04394;0;55.04394;0
2006-05-20;55.07454;0;55.07454;0
2006-05-21;55.10547;0;55.10547;0
2006-05-22;55.13673;0;55.13673;0
2006-05-23;55.1683;0;55.1683;0
2006-05-24;55.20017;0;55.20017;0
2006-05-25;55.23234;0;55.23234;0
2006-05-26;55.26479;0;55.26479;0
2006-05-27;55.29752;0;55.29752;0
2006-05-28;55.3305;0;55.3305;0
2006-05-29;55.36374;0;55.36374;0
2006-05-30;55.39722;0;55.39722;0
2006-05-31;55.43092;0;55.43092;0
2006-06-01;55.46485;0;55.46485;0
2006-06-02;55.49898;0;55.49898;0
2006-06-03;55.53331;0;55.53331;0
2006-06-04;55.56783;0;55.56783;0
2006-06-05;55.60252;0;55.60252;0
2006-06-06;55.63738;0;55.63738;0
2006-06-07;55.67239;0;55.67239;0
2006-06-08;55.70754;0;55.70754;0
2006-06-09;55.74282;0;55.74282;0
2006-06-10;55.77822;0;55.77822;0
2006-06-11;55.81374;0;55.81374;0
2006-06-12;55.84935;0;55.84935;0
2006-06-13;55.88504;0;55.88504;0
2006-06-14;55.92082;0;55.92082;0
2006-06-15;55.95665;0;55.95665;0
2006-06-16;55.99254;0;55.99254;0
2006-06-17;56.02848;0;56.02848;0
2006-06-18;56.06444;0;56.06444;0
