lat,lon,country,facility,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2020_upd,2021_upd,diff 2020,diff 2021
"54,625","-1,1875",UK,Hartlepool,1470,1660,"15,2",1170,1930,2210,2170,2250,1760,1810,1660,2600,2230,3010,3010,3010,1890,1700,1890,-1310,-1120
"51,208333","-3,1875",UK,Hinkley Point A+B,"1320,687","472,712","1110,731","908,725","1210,71","1170,67","1160,6","1210,51","1660,48","1480,457","1380,38","1700,45","1530,54","1950,604","1950,604","1950,604","1210,52","1050,57","1210,52","-900,034","-740,084"
"50,875","0,9375",UK,Dungeness A+B,2531,1040,"731,11","664,1","503,222","508,282","528,634","557,452","808,474","856,353","1010,284","1270,954","1062,33","280,862","280,862","280,862","11,892","37,818","11,892","-243,044","-268,97"
"54,041667","-2,9375",UK,Heysham 1-2,2990,3000,1733,2700,2480,3230,3120,3220,2403,2730,3760,3390,3490,4180,4180,4180,2850,4000,2850,-180,-1330
"54,458333","-3,4375",UK,Sellafield,710,360,686,379,273,396,378,518,340,420,442,416,427,247,247,247,"68,9",125,"68,9",-122,"-178,1"
"55,708333","-4,9375",UK,Hunterston A+B,"1680,184","540,181","1310,128","1320,117","1310,094","1300,08","1390,08","1220,083","1080,08","1530,0577","1470,0564","1970,0604","844,0655","382,062","382,062","382,062","1960,056","356,0592","1960,056","-26,0028","1577,994"
"51,708333","-2,4375",UK,Berkeley,"0,166","0,25","0,282","0,224","0,245","0,472","0,524","0,503","0,519","0,916","1,82","1,92","0,514","0,613","0,613","0,613","0,47","0,427","0,47","-0,186","-0,143"
"53,458333","-4,4375",UK,Wylfa,1280,1000,1490,1420,1330,1260,965,871,342,954,104,"1,51","1,08","0,69","0,69","0,69","0,88","0,63","0,88","-0,06","0,19"
"51,625","9,4375",Germany,Würgassen,"1,5","2,2","1,4","1,9",1,"0,43","0,35",0,0,0,"0,045","0,046","0,043","0,05","0,048","0,04","0,042","0,048","0,042",0,"0,002"
"40,958333","0,8125",Spain,Vandellos 1-2,0,336,"41,72","15,008","13,972","16,548","129,64","59,7","96,7","85,4","31,7","96,9",154,"90,7",114,157,"50,3",114,157,0,0
