Timestamp	Type	CO2 um/m
07.06.2019 11:21	STD1	-0.01
07.06.2019 11:26	STD2	228.45
07.06.2019 11:31	STD3	412.55
07.06.2019 11:36	STD4	509.01
07.06.2019 11:54	EQU	355.21
07.06.2019 11:56	EQU	356.17
07.06.2019 11:58	EQU	355.02
07.06.2019 11:59	EQU	353.89
07.06.2019 12:01	EQU	352.42
07.06.2019 12:03	EQU	352.25
07.06.2019 12:04	EQU	352.12
07.06.2019 12:06	EQU	351.97
07.06.2019 12:08	EQU	351.12
07.06.2019 12:13	STD1	0.32
07.06.2019 12:18	STD2	229.49
07.06.2019 12:23	STD3	414.18
07.06.2019 12:28	STD4	510.03
07.06.2019 12:33	EQU	335.78
07.06.2019 12:35	EQU	336.42
07.06.2019 12:37	EQU	336.73
07.06.2019 12:39	EQU	336.79
07.06.2019 12:40	EQU	336.82
07.06.2019 12:42	EQU	336.41
07.06.2019 12:44	EQU	336.09
07.06.2019 12:46	EQU	335.99
07.06.2019 12:48	EQU	336.22
07.06.2019 12:53	STD1	0.09
07.06.2019 12:58	STD2	229.58
07.06.2019 13:03	STD3	413.47
07.06.2019 13:08	STD4	509.71
