Type	error	PC Date	PC Time	GPS date	gps time	latitude	longitude	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	atm press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp	deck box temp	WBPressure	Intake Temp	Salinity
STD1z	0	06/07/2019	11:11:10	06/07/2019	11:09:46	70.2061	19.486	8.84	0	50.7	-0.6	10.54	0.06	35.03	1006.6	1003.734372	0.57	3.15	61.38	75	-6.65	9.94	9.93	9.94	0.543	10.06	20.25	306.23	1004.353	8.716	1007.58
STD4s	0	06/07/2019	11:16:36	06/07/2019	11:15:12	70.2206	19.4645	8.9	0	2556.2	506.81	8.96	0.05	34.98	1006.8	1003.734372	0.93	3.16	62	75	-6.36	9.94	9.93	9.94	0.542	6.12	20.75	306.23	1005.899	8.797	1008.23
STD1	0	06/07/2019	11:21:58	06/07/2019	11:20:34	70.2355	19.4612	8.88	0	50.62	-0.01	1.92	0.01	35.02	1006.7	1003.734372	0.65	3.16	61.25	75	-6.79	9.94	9.93	9.94	0.542	4.87	20.06	306.23	1007.81	8.35727	33.98632
STD2	0	06/07/2019	11:27:38	06/07/2019	11:26:14	70.2499	19.4574	8.81	228.4	1409.3	228.45	5.87	0.03	35.09	1006.6	1003.963328	0.96	3.19	61.91	75	-6.5	9.94	9.94	9.94	0.544	4.81	21.12	306.23	1008.22	8.36727	33.98789
STD3	0	06/07/2019	11:32:43	06/07/2019	11:31:19	70.2644	19.4533	8.82	412.5	2209.5	412.55	2.83	0.02	35.18	1006.8	1003.986516	0.73	3.21	64.02	75	-6	9.94	9.94	9.94	0.546	4.81	19.87	306.23	1008.03	8.37879	34.01482
STD4	0	06/07/2019	11:38:18	06/07/2019	11:36:54	70.2787	19.4495	8.84	507.77	2559.1	509.01	1.96	0.01	35.27	1006.8	1003.996243	1.08	3.16	61.78	75	-6.59	9.94	9.94	9.94	0.541	5.06	21.31	306.23	1008.45	8.39533	34.03346
ATM	0	06/07/2019	11:43:57	06/07/2019	11:42:33	70.2921	19.4358	8.8	NaN	2184.4	407.17	408.66	2.71	35.38	1006.8	1003.917941	0.75	3.14	105.94	75	-5.93	9.94	9.94	9.94	0.546	4.87	19.75	306.23	1008.19	8.33914	34.06106
ATM	0	06/07/2019	11:45:17	06/07/2019	11:43:53	70.2972	19.4279	8.78	NaN	2183.7	406.99	407.45	2.7	35.41	1006.9	1004.38468	0.87	3.17	106.62	75	-6.21	9.94	9.94	9.94	0.542	4.81	19.87	306.23	1008.57	8.329595	34.070665
ATM	0	06/07/2019	11:46:57	06/07/2019	11:45:33	70.3022	19.4203	8.79	NaN	2185	407.43	406.45	2.69	35.46	1006.8	1004.316891	1.12	3.16	106.37	75	-6.35	9.94	9.94	9.94	0.542	4.81	21.19	306.23	8.51	8.32005	34.08027
ATM	0	06/07/2019	11:48:35	06/07/2019	11:47:11	70.3073	19.4129	8.77	NaN	2185.2	407.54	404.2	2.67	35.49	1006.8	1004.639116	0.99	3.15	106.31	75	-6.19	9.94	9.94	9.94	0.545	4.75	20.69	306.23	1008.32	8.35661	34.079895
